postId,url,time,text,likes,shares,comments,isVideo,viewsCount
875690341259329,https://www.facebook.com/reel/1028068325500082/,2024-07-04T12:32:32.000Z,399 even stop imagining favorite look pull best pick nearest max fashion store weekend still hurry go maxfashion maxmaniasale woman wear sale alert price drop,452,1,5.0,True,25599.0
875518041276559,https://www.facebook.com/reel/501963135518047/,2024-07-04T06:15:05.000Z,heap fun stylish look beyond point grab 399 max mania sale nearest max fashion store maxfashion maxmaniasale kid wear beach wear sale alert price drop,22,0,,True,882.0
875042874657409,https://www.facebook.com/maxfashions/posts/pfbid026TN5FRvqFHvJAHiQpdQmtPduysN9XFsWAQ6Li2Fvij638BVp75zGNqffUouJ4q35l,2024-07-03T12:30:09.000Z,love wearing skirt absolutely adore feel short u brous skorts make look stylish hop run dance grab one closet nearest max fashion store maxfashion womenswear sport skort athleisure wear woman fashion,23,1,6.0,False,
874395264722170,https://www.facebook.com/maxfashions/posts/pfbid0ewMBUsm5z1Ajsbg7sdJy8aGvKp4PW17EWwhpiqZ5WueAaeGSnHSQwPsMvtQNFuCwl,2024-07-02T12:30:07.000Z,turn feed brightest tee youll see grab favorite nearest max fashion maxfashion kidswear cartoon themed tee kid fashion everyday essential,25,1,1.0,False,
874257588069271,https://www.facebook.com/maxfashions/posts/1019045152905119:1019045152905119,2024-07-02T07:06:52.000Z,,19,0,5.0,False,
873837051444658,https://www.facebook.com/maxfashions/posts/1152787832606629:1152787832606629,2024-07-01T15:04:34.000Z,,23,0,1.0,False,
873750381453325,https://www.facebook.com/maxfashions/posts/pfbid06LV737vJ2nMZUuL1oNE6U9k7u6PHi6tuxVH3QykvBnuj3CssusVDtbqSqikfkYUNl,2024-07-01T12:30:08.000Z,sleeveless hoodies monday athleisure flex didnt know needed grab nearest max fashion store maxfashion menswear sport leisure volume hoodies monday blue men fashion,15,0,1.0,False,
872924181535945,https://www.facebook.com/reel/997435465222768/,2024-06-30T04:32:21.000Z,brb busy bagging best deal town max mania sale 399 grab head nearest max fashion store asap maxfashion maxmaniasale end season sale woman fashion price drop alert,26,0,4.0,True,2513.0
872491618245868,https://www.facebook.com/reel/993288242010998/,2024-06-29T12:30:46.000Z,anyone grab max mania sale nearest max fashion store weekend maxfashion maxmaniasale accessory end season sale accessory 399,26,0,1.0,True,1387.0
872313694930327,https://www.facebook.com/reel/1210877816739739/,2024-06-29T05:24:44.000Z,delve playful pattern deal thatll make go grab faves deal hot yeah really took low time take quick stroll max fashion store see maxfashion maxmaniasale kid fashion teen fashion end season sale price drop alert,19,0,1.0,True,1398.0
871857458309284,https://www.facebook.com/reel/1186777912455393/,2024-06-28T12:24:48.000Z,weve sweetened deal pick dress bag footwear denim tee price good ignore dont want miss fun dont forget there sbi credit card time meeting today max fashion tnc maxfashion maxmaniasale end season sale price drop alert woman fashion men fashion kid fashion,34,2,12.0,True,3617.0
871031201725243,https://www.facebook.com/reel/488832933591019/,2024-06-27T06:07:34.000Z,thats know sale max mania sale ask go grab hottest deal town 499 nearest max fashion store maxfashion maxmaniasale,43,1,4.0,True,5463.0
870568901771473,https://www.facebook.com/maxfashions/posts/pfbid023U3ijoAVvhkXh9MojdSRKNFvFVecv8B5DvxvHpDzm3Y9jQJ4yuikTJL6NmAMjj4vl,2024-06-26T12:42:22.000Z,found perfect sporty coords ultimate look head max fashion grab favorite maxfashion womenswear lounge wear coords woman fashion,26,0,7.0,False,
869946671833696,https://www.facebook.com/maxfashions/posts/pfbid02A9k78W7XUkP49LHAZDU7Yqr8KUeemjPBqhLCTEw314DDHbNuKUja7c41wbmLFqofl,2024-06-25T12:34:14.000Z,dressed make statement stretch chill sport leisure fashion coords maxfashion menswear sport athleisure coord set men fashion effortless style,25,0,3.0,False,
869312088563821,https://www.facebook.com/maxfashions/posts/pfbid02nYZEYRzRAX9mH2eqxpHGZYpCt6pXbBESVNdvqVViL6WEemv1FdEnujWxkDXBzR7al,2024-06-24T12:32:05.000Z,channel inner ninja sakura haruno tee even hero need look good behind maxfashion womenswear anime sakura haruno tee woman woman fashion,21,0,7.0,False,
868667035294993,https://www.facebook.com/reel/792320556363136/,2024-06-23T13:02:11.000Z,spotted chat max mania sale plan trip max fashion bff yet need take cue influencer handle nowmaxfashion maxmaniasale,13,0,6.0,True,1093.0
868593771968986,https://www.facebook.com/reel/406996325672884/,2024-06-23T10:33:48.000Z,nothing smile max elite exclusive garfield movie screening max kid festival maxfashion maxkidsfestival maxelite garfield movie screening max kid festival elite membership,39,2,2.0,True,3914.0
868423048652725,https://www.facebook.com/reel/434330966096293/,2024-06-23T04:49:44.000Z,stretch move groovework chill athleisure got back international olympic day maxfashion maxmaniasale internationalolympicday,15,0,,True,956.0
868001815361515,https://www.facebook.com/reel/1016108163199122/,2024-06-22T13:45:20.000Z,still home go check max mania sale maxfashion maxmaniasale,27,2,1.0,True,2183.0
867749078720122,https://www.facebook.com/maxfashions/posts/pfbid0nvWVPdEP3DC1jcVNHv19qyeiuPQSFHTDDssEvkAjaN79opVGmZ7hfRcNXek22nRLl,2024-06-22T05:10:56.000Z,play pose shop repeat coolest style kid 499 yes please maxfashion maxmaniasale teen wear end season sale fit 499,24,1,1.0,False,
866516028843427,https://www.facebook.com/reel/999513365047499/,2024-06-20T09:44:01.000Z,favorite bedtime story upon time everything max mania sale 499 find happened next nearest max fashion maxfashion maxmaniasale end season sale kid wear,28,6,,True,2012.0
866373562191007,https://www.facebook.com/reel/1622597991861523/,2024-06-20T04:40:54.000Z,pouring steaming hot deal max mania sale take leave today max mania sale 499 live rush nearest max fashion store maxfashion maxmaniasale end season sale men wear woman wear,20,1,9.0,True,1191.0
866371798857850,https://www.facebook.com/reel/869015085133042/,2024-06-20T04:36:03.000Z,hot press max mania sale back town time turn page fabulous saving check sizzling deal nearest max fashion store maxfashion maxmaniasale end season sale men wear woman wear kid wear,25,3,,True,1532.0
866369818858048,https://www.facebook.com/reel/1115362356216595/,2024-06-20T04:30:47.000Z,hey yes cancel everything max mania sale time go wild hurry rush nearest max fashion today maxfashion maxmaniasale,18,0,,True,1194.0
865983902229973,https://www.facebook.com/reel/1113548159706346/,2024-06-19T13:27:57.000Z,priority todo list tomorrow search max fashion near book cab trust u wont regret something huge dropping maxfashion staytuned men wear woman wear kid wear,14,0,,True,1095.0
865358125625884,https://www.facebook.com/reel/1129653071604077/,2024-06-18T12:31:24.000Z,pick closet style spotlight june life give polo make chunky fabulous grab max fashion weekend maxfashion menswear chunky knit polo men fashion,17,2,4.0,True,922.0
